,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11595,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19719800.0,19719800.0,False,,1,,,,2024-07-10T06:10:00.000Z,58967.570126305574,28826094458.807186,-18.9173,-0.45482955,2.66125177,-3.41919011,-15.15147666,-3.23887336,-16.63994023,1162828689376.7207,53.8315,1238318972652.42,,2024-07-10T06:10:00.000Z,,,,,,2024-07-10 11:41:54.838867
1,1027,Ethereum,ETH,ethereum,9126,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120207304.75118561,120207304.75118561,True,,2,,,,2024-07-10T06:09:00.000Z,3096.985414084157,14981341933.246523,-28.4546,-0.74852939,0.54316436,-7.96403301,-15.8398013,6.04365765,-13.25605534,372280269480.791,17.2397,372280269480.79,,2024-07-10T06:09:00.000Z,,,,,,2024-07-10 11:41:54.838867
2,825,Tether USDt,USDT,tether,91223,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112259808785.14278,116076856616.98984,True,,3,,,,2024-07-10T06:09:00.000Z,1.0003388834349551,51555812113.03668,-24.1612,0.0190969,0.02882359,0.18327692,0.05305029,0.05986998,0.02347358,112297851774.7513,5.2007,116116193140.88,,2024-07-10T06:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-07-10 11:41:54.838867
3,1839,BNB,BNB,bnb,2190,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147582556.48108873,147582556.48108873,False,,4,,,,2024-07-10T06:09:00.000Z,522.4622360796031,1597310541.7094166,-20.3017,-0.36521276,1.72528326,-7.74929918,-21.32026792,-10.83563274,-14.39406606,77106312465.45395,3.5709,77106312465.45,,2024-07-10T06:09:00.000Z,,,,,,2024-07-10 11:41:54.838867
4,5426,Solana,SOL,solana,699,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,463675708.6111104,579836504.167659,True,,5,,,,2024-07-10T06:09:00.000Z,144.06182895624656,2345338542.9005113,-31.9355,-0.9960156,1.84098383,-3.49433026,-9.76727008,-0.96603963,-17.3622378,66797970625.100204,3.0935,83532307285.99,,2024-07-10T06:09:00.000Z,,,,,,2024-07-10 11:41:54.838867
5,3408,USDC,USDC,usd-coin,20886,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,34017145371.429672,34017145371.429672,False,,6,,,,2024-07-10T06:09:00.000Z,1.0001444921275544,5556322166.362566,-25.8443,0.01632329,0.01759471,0.02221135,0.00697426,0.01250997,0.00605551,34022060581.13772,1.5755,34022060581.14,,2024-07-10T06:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-07-10 11:41:54.838867
6,52,XRP,XRP,xrp,1351,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55723063839.0,99987471767.0,False,,7,,,,2024-07-10T06:10:00.000Z,0.43744303480354957,1016316732.0456506,-23.3573,-0.76590084,0.40023301,-8.84445801,-12.04210295,-13.41823452,-29.0715474,24375666154.284092,1.1289,43744303480.35,,2024-07-10T06:10:00.000Z,,,,,,2024-07-10 11:41:54.838867
7,11419,Toncoin,TON,toncoin,453,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2506201805.4972763,5108789406.656088,True,,8,3414166606.0,25210081797.381397,,2024-07-10T06:09:00.000Z,7.383963557337131,246240985.4714523,-33.8016,-0.27521979,1.92470052,-7.65776593,3.962354,6.1840494,-3.28446929,18505702799.12441,0.8567,37723114800.86,,2024-07-10T06:09:00.000Z,,,,,,2024-07-10 11:41:54.838867
8,74,Dogecoin,DOGE,dogecoin,1021,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145054186383.70523,145054186383.70523,True,,9,,,,2024-07-10T06:10:00.000Z,0.10912806672994632,575395774.1843253,-33.9758,-0.89757836,0.20825311,-10.64957711,-24.90423741,-24.50522591,-44.52995513,15829482931.139055,0.7331,15829482931.14,,2024-07-10T06:10:00.000Z,,,,,,2024-07-10 11:41:54.838867
9,2010,Cardano,ADA,cardano,1209,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35872097430.943,37034995407.59,False,,10,,,,2024-07-10T06:09:00.000Z,0.3825697517756803,256758231.28623012,-42.9607,-0.66552174,2.92752962,-7.89991085,-13.2464853,-14.37560886,-34.82028685,13723579409.828884,0.6356,17215638829.91,,2024-07-10T06:09:00.000Z,,,,,,2024-07-10 11:41:54.838867
